Player,group,Mat,Inns,NO,Runs,HS,Ave,BF,value,lastValue,Hundreds,Fifties,Ducks,year,Player_mod,rank
Saeed Anwar,PAK,11,11,1,254,70,25.4,372,68.27,68.31,0,2,2,2002,Saeed Anwar (PAK),26
Saeed Anwar,PAK,5,5,1,218,101,54.5,303,71.94,68.27,1,0,0,2003,Saeed Anwar (PAK),21
Saleem Elahi,PAK,7,7,1,304,102,50.66,444,68.46,68.46,1,2,1,1995,Saleem Elahi (PAK),9
Saleem Elahi,PAK,5,5,0,125,54,25,154,81.16,68.46,0,1,0,1996,Saleem Elahi (PAK),10
Saleem Elahi,PAK,3,3,0,104,79,34.66,139,74.82,81.16,0,1,0,2001,Saleem Elahi (PAK),18
Saleem Elahi,PAK,8,8,0,466,135,58.25,561,83.06,74.82,3,1,1,2002,Saleem Elahi (PAK),15
Saleem Raza,UAE,3,3,0,127,84,42.33,105,120.95,120.95,0,1,0,1996,Saleem Raza (UAE),2
Salman Butt,PAK,6,6,1,252,108,50.4,335,75.22,75.22,1,1,1,2004,Salman Butt (PAK),11
Salman Butt,PAK,20,20,0,565,101,28.25,782,72.25,75.22,1,2,2,2005,Salman Butt (PAK),20
Salman Butt,PAK,7,7,0,145,101,20.71,233,62.23,72.25,1,0,2,2006,Salman Butt (PAK),37
Salman Butt,PAK,8,8,0,362,129,45.25,457,79.21,62.23,1,2,1,2007,Salman Butt (PAK),19
Salman Butt,PAK,19,19,2,861,136,50.64,1007,85.5,79.21,3,4,3,2008,Salman Butt (PAK),19
Salman Butt,PAK,10,10,1,358,100,39.77,525,68.19,85.5,1,3,2,2009,Salman Butt (PAK),42
Salman Butt,PAK,7,7,0,182,74,26,232,78.44,68.19,0,2,3,2010,Salman Butt (PAK),29
SC Ganguly,INDIA,37,34,3,1336,113,43.09,1899,70.35,70.35,1,10,3,1997,SC Ganguly (INDIA),17
SC Ganguly,INDIA,36,35,3,1328,124,41.5,1903,69.78,70.35,4,7,1,1998,SC Ganguly (INDIA),25
SC Ganguly,INDIA,36,36,2,1558,183,45.82,2067,75.37,69.78,4,8,1,1999,SC Ganguly (INDIA),14
SC Ganguly,INDIA,31,31,4,1561,144,57.81,1879,83.07,75.37,7,6,0,2000,SC Ganguly (INDIA),6
SC Ganguly,INDIA,20,20,0,744,127,37.2,1036,71.81,83.07,2,5,1,2001,SC Ganguly (INDIA),20
SC Ganguly,INDIA,26,26,1,920,117,36.8,1107,83.1,71.81,1,7,2,2002,SC Ganguly (INDIA),14
SC Ganguly,INDIA,6,6,0,59,23,9.83,161,36.64,83.1,0,0,1,2003,SC Ganguly (INDIA),43
SC Ganguly,INDIA,12,11,0,310,90,28.18,437,70.93,36.64,0,2,2,2004,SC Ganguly (INDIA),18
SC Ganguly,INDIA,8,8,1,156,51,22.28,278,56.11,70.93,0,1,0,2005,SC Ganguly (INDIA),32
SC Ganguly,INDIA,29,28,2,1120,98,43.07,1557,71.93,56.11,0,11,2,2007,SC Ganguly (INDIA),28
SC Williams,WI,10,10,0,300,61,30,468,64.1,64.1,0,1,1,1994,SC Williams (WI),15
SC Williams,WI,12,12,2,341,73,34.1,477,71.48,64.1,0,3,1,1995,SC Williams (WI),6
SC Williams,WI,6,6,0,97,62,16.16,171,56.72,71.48,0,1,1,1996,SC Williams (WI),30
SC Williams,WI,12,12,2,626,105,62.6,910,68.79,56.72,1,6,0,1997,SC Williams (WI),21
SD Outerbridge,BMUDA,5,5,0,15,9,3,42,35.71,35.71,0,0,2,2007,SD Outerbridge (BMUDA),58
SE Marsh,AUS,8,8,1,333,81,47.57,437,76.2,76.2,0,3,1,2008,SE Marsh (AUS),28
SE Marsh,AUS,10,10,0,372,112,37.2,487,76.38,76.2,1,2,0,2009,SE Marsh (AUS),31
SE Marsh,AUS,8,8,0,223,83,27.87,333,66.96,76.38,0,1,1,2010,SE Marsh (AUS),44
SG Law,AUS,1,1,0,110,110,110,135,81.48,81.48,1,0,0,1994,SG Law (AUS),4
Shahid Afridi,PAK,4,4,0,101,66,25.25,66,153.03,153.03,0,1,1,1996,Shahid Afridi (PAK),1
Shahid Afridi,PAK,26,26,0,760,72,29.23,686,110.78,153.03,0,6,3,1997,Shahid Afridi (PAK),3
Shahid Afridi,PAK,17,17,0,377,109,22.17,394,95.68,110.78,1,1,1,1998,Shahid Afridi (PAK),4
Shahid Afridi,PAK,19,19,0,415,71,21.84,496,83.66,95.68,0,3,1,1999,Shahid Afridi (PAK),8
Shahid Afridi,PAK,22,22,0,509,69,23.13,628,81.05,83.66,0,3,3,2000,Shahid Afridi (PAK),9
Shahid Afridi,PAK,14,14,0,441,70,31.5,410,107.56,81.05,0,4,0,2001,Shahid Afridi (PAK),1
Shahid Afridi,PAK,19,19,1,420,108,23.33,418,100.47,107.56,1,2,1,2002,Shahid Afridi (PAK),3
Shahid Afridi,PAK,4,4,0,108,80,27,87,124.13,100.47,0,1,0,2004,Shahid Afridi (PAK),1
Shahid Afridi,PAK,10,10,0,301,102,30.1,178,169.1,124.13,1,1,2,2005,Shahid Afridi (PAK),1
Shahriar Hossain,BDESH,10,10,0,306,95,30.6,497,61.56,61.56,0,2,2,1999,Shahriar Hossain (BDESH),26
Shahriar Nafees,BDESH,7,7,0,254,75,36.28,390,65.12,65.12,0,2,0,2005,Shahriar Nafees (BDESH),27
Shahriar Nafees,BDESH,28,28,3,1033,123,41.32,1468,70.36,65.12,3,4,4,2006,Shahriar Nafees (BDESH),26
Shahriar Nafees,BDESH,14,14,1,278,104,21.38,389,71.46,70.36,1,1,3,2007,Shahriar Nafees (BDESH),29
Shahriar Nafees,BDESH,10,10,1,280,90,31.11,399,70.17,71.46,0,3,1,2008,Shahriar Nafees (BDESH),30
Shahriar Nafees,BDESH,4,4,0,119,73,29.75,125,95.2,70.17,0,1,1,2010,Shahriar Nafees (BDESH),11
Shoaib Malik,PAK,3,3,0,130,115,43.33,192,67.7,67.7,1,0,0,2002,Shoaib Malik (PAK),28
Shoaib Malik,PAK,7,7,0,141,46,20.14,207,68.11,67.7,0,0,0,2006,Shoaib Malik (PAK),28
Shoaib Malik,PAK,3,3,1,212,125,106,230,92.17,68.11,1,1,0,2008,Shoaib Malik (PAK),11
SJ Swanepoel,NAM,5,5,0,43,23,8.6,94,45.74,45.74,0,0,0,2003,SJ Swanepoel (NAM),40
SL Campbell,WI,15,15,0,438,86,29.2,771,56.8,56.8,0,2,0,1995,SL Campbell (WI),20
SL Campbell,WI,12,12,0,262,47,21.83,543,48.25,56.8,0,0,0,1996,SL Campbell (WI),34
SL Campbell,WI,9,9,0,138,52,15.33,271,50.92,48.25,0,1,2,1997,SL Campbell (WI),30
SL Campbell,WI,26,25,0,747,69,29.88,1156,64.61,50.92,0,7,1,1999,SL Campbell (WI),21
SL Campbell,WI,16,15,0,520,105,34.66,780,66.66,64.61,2,3,2,2000,SL Campbell (WI),21
SL Campbell,WI,5,5,0,51,42,10.2,103,49.51,66.66,0,0,2,2001,SL Campbell (WI),37
SM Davies,ENG,5,5,0,197,87,39.4,186,105.91,105.91,0,1,0,2010,SM Davies (ENG),3
SM Katich,AUS,10,10,0,371,58,37.1,512,72.46,72.46,0,3,0,2005,SM Katich (AUS),19
SM Katich,AUS,22,22,2,783,107,39.15,1215,64.44,72.46,1,5,1,2006,SM Katich (AUS),36
SP Fleming,NZ,9,9,0,248,89,27.55,349,71.06,71.06,0,2,1,2002,SP Fleming (NZ),22
SP Fleming,NZ,23,22,2,681,134,34.05,1045,65.16,71.06,1,2,0,2003,SP Fleming (NZ),25
SP Fleming,NZ,22,21,2,921,115,48.47,1161,79.32,65.16,2,4,2,2004,SP Fleming (NZ),10
SP Fleming,NZ,16,15,0,409,93,27.26,521,78.5,79.32,0,3,2,2005,SP Fleming (NZ),15
SP Fleming,NZ,8,8,0,298,89,37.25,405,73.58,78.5,0,3,2,2006,SP Fleming (NZ),21
SP Fleming,NZ,21,20,2,628,106,34.88,794,79.09,73.58,2,4,2,2007,SP Fleming (NZ),20
SR Tendulkar,INDIA,20,20,1,1002,115,52.73,1100,91.09,91.09,3,8,3,1994,SR Tendulkar (INDIA),2
SR Tendulkar,INDIA,12,12,1,444,112,40.36,438,101.36,91.09,1,1,0,1995,SR Tendulkar (INDIA),1
SR Tendulkar,INDIA,32,32,2,1611,137,53.7,1954,82.44,101.36,6,9,0,1996,SR Tendulkar (INDIA),9
SR Tendulkar,INDIA,27,25,1,694,117,28.91,782,88.74,82.44,2,2,1,1997,SR Tendulkar (INDIA),5
SR Tendulkar,INDIA,33,32,4,1840,143,65.71,1778,103.48,88.74,9,6,0,1998,SR Tendulkar (INDIA),2
SR Tendulkar,INDIA,18,18,1,679,186,39.94,804,84.45,103.48,2,1,3,1999,SR Tendulkar (INDIA),7
SR Tendulkar,INDIA,32,32,0,1303,146,40.71,1587,82.1,84.45,3,6,0,2000,SR Tendulkar (INDIA),7
SR Tendulkar,INDIA,16,16,3,904,146,69.53,990,91.31,82.1,4,3,1,2001,SR Tendulkar (INDIA),5
SR Tendulkar,INDIA,6,6,1,266,87,53.2,283,93.99,91.31,0,2,0,2002,SR Tendulkar (INDIA),7
SR Tendulkar,INDIA,18,18,1,1139,152,67,1277,89.19,93.99,3,8,0,2003,SR Tendulkar (INDIA),5
SR Tendulkar,INDIA,21,21,1,812,141,40.6,1014,80.07,89.19,1,5,1,2004,SR Tendulkar (INDIA),9
SR Tendulkar,INDIA,15,15,1,410,123,29.28,518,79.15,80.07,1,2,0,2005,SR Tendulkar (INDIA),14
SR Tendulkar,INDIA,15,15,2,627,141,48.23,812,77.21,79.15,2,3,1,2006,SR Tendulkar (INDIA),17
SR Tendulkar,INDIA,23,23,0,1115,99,48.47,1352,82.47,77.21,0,10,1,2007,SR Tendulkar (INDIA),15
SR Tendulkar,INDIA,12,12,1,460,117,41.81,546,84.24,82.47,1,3,1,2008,SR Tendulkar (INDIA),23
SR Tendulkar,INDIA,21,20,2,972,175,54,1034,94,84.24,3,3,0,2009,SR Tendulkar (INDIA),12
SR Tendulkar,INDIA,2,2,1,204,200,204,152,134.21,94,1,0,0,2010,SR Tendulkar (INDIA),1
SR Tendulkar,INDIA,11,11,0,513,120,46.63,579,88.6,134.21,2,2,0,2011,SR Tendulkar (INDIA),14
SR Tendulkar,INDIA,10,10,0,315,114,31.5,387,81.39,88.6,1,1,0,2012,SR Tendulkar (INDIA),15
SR Waters,KENYA,4,4,0,150,74,37.5,234,64.1,64.1,0,1,0,2008,SR Waters (KENYA),37
SR Waters,KENYA,7,7,0,107,32,15.28,190,56.31,64.1,0,0,2,2009,SR Waters (KENYA),50
SR Waters,KENYA,6,6,0,120,71,20,223,53.81,56.31,0,1,0,2011,SR Waters (KENYA),42
SR Watson,AUS,7,7,1,225,79,37.5,268,83.95,83.95,0,3,2,2006,SR Watson (AUS),12
SR Watson,AUS,7,7,0,262,126,37.42,291,90.03,83.95,1,0,1,2008,SR Watson (AUS),15
SR Watson,AUS,21,21,4,943,136,55.47,1098,85.88,90.03,3,3,3,2009,SR Watson (AUS),17
SR Watson,AUS,21,21,0,771,69,36.71,872,88.41,85.88,0,7,0,2010,SR Watson (AUS),15
SR Watson,AUS,22,21,2,1124,185,59.15,1036,108.49,88.41,2,8,0,2011,SR Watson (AUS),3
SR Watson,AUS,10,9,0,257,66,28.55,350,73.42,108.49,0,2,0,2012,SR Watson (AUS),20
ST Jayasuriya,SL,18,17,0,508,140,29.88,627,81.02,81.02,1,4,2,1994,ST Jayasuriya (SL),5
ST Jayasuriya,SL,17,17,0,494,57,29.05,613,80.58,81.02,0,3,0,1995,ST Jayasuriya (SL),2
ST Jayasuriya,SL,30,29,1,955,134,34.1,849,112.48,80.58,2,4,0,1996,ST Jayasuriya (SL),3
ST Jayasuriya,SL,26,26,3,1178,151,51.21,1037,113.59,112.48,3,9,3,1997,ST Jayasuriya (SL),2
ST Jayasuriya,SL,23,23,0,661,102,28.73,790,83.67,113.59,1,4,3,1998,ST Jayasuriya (SL),12
ST Jayasuriya,SL,26,26,1,647,88,25.88,754,85.8,83.67,0,7,1,1999,ST Jayasuriya (SL),5
ST Jayasuriya,SL,21,21,0,910,189,43.33,1035,87.92,85.8,2,6,1,2000,ST Jayasuriya (SL),4
ST Jayasuriya,SL,33,33,1,1202,107,37.56,1444,83.24,87.92,2,8,3,2001,ST Jayasuriya (SL),11
ST Jayasuriya,SL,31,31,1,1077,112,35.9,1174,91.73,83.24,2,4,2,2002,ST Jayasuriya (SL),8
ST Jayasuriya,SL,25,25,3,860,122,39.09,1002,85.82,91.73,3,3,3,2003,ST Jayasuriya (SL),7
ST Jayasuriya,SL,24,24,1,724,130,31.47,866,83.6,85.82,2,3,2,2004,ST Jayasuriya (SL),7
ST Jayasuriya,SL,12,12,0,280,67,23.33,313,89.45,83.6,0,1,1,2005,ST Jayasuriya (SL),6
ST Jayasuriya,SL,26,25,1,1153,157,48.04,1073,107.45,89.45,5,2,2,2006,ST Jayasuriya (SL),2
ST Jayasuriya,SL,31,30,2,835,115,29.82,891,93.71,107.45,2,4,1,2007,ST Jayasuriya (SL),12
ST Jayasuriya,SL,18,17,0,578,130,34,542,106.64,93.71,2,2,2,2008,ST Jayasuriya (SL),5
ST Jayasuriya,SL,20,20,0,592,107,29.6,605,97.85,106.64,1,2,3,2009,ST Jayasuriya (SL),9
T Duffin,ZIM,16,16,0,390,88,24.37,751,51.93,51.93,0,2,1,2006,T Duffin (ZIM),46
T Duffin,ZIM,5,5,0,95,37,19,185,51.35,51.93,0,0,0,2007,T Duffin (ZIM),55
Tamim Iqbal,BDESH,21,21,0,455,54,21.66,728,62.5,62.5,0,3,0,2007,Tamim Iqbal (BDESH),44
Tamim Iqbal,BDESH,26,26,0,807,129,31.03,1035,77.97,62.5,1,5,4,2008,Tamim Iqbal (BDESH),26
Tamim Iqbal,BDESH,19,19,0,602,154,31.68,762,79,77.97,1,3,2,2009,Tamim Iqbal (BDESH),25
Tamim Iqbal,BDESH,23,23,0,776,125,33.73,807,96.15,79,1,5,2,2010,Tamim Iqbal (BDESH),9
Tamim Iqbal,BDESH,20,20,1,475,70,25,609,77.99,96.15,0,3,4,2011,Tamim Iqbal (BDESH),24
Tamim Iqbal,BDESH,9,9,0,347,70,38.55,419,82.81,77.99,0,5,0,2012,Tamim Iqbal (BDESH),12
Taufeeq Umar,PAK,4,4,0,152,76,38,232,65.51,65.51,0,2,0,2002,Taufeeq Umar (PAK),31
Taufeeq Umar,PAK,11,11,1,246,81,24.6,469,52.45,65.51,0,1,0,2003,Taufeeq Umar (PAK),34
TC Bastiampillai,CAN,5,5,0,79,33,15.8,109,72.47,72.47,0,0,0,2010,TC Bastiampillai (CAN),37
TD Paine,AUS,14,14,0,418,111,29.85,572,73.07,73.07,1,3,1,2009,TD Paine (AUS),36
TD Paine,AUS,9,9,0,278,81,30.88,445,62.47,73.07,0,2,0,2010,TD Paine (AUS),49
TM Dilshan,SL,19,19,1,1000,160,55.55,969,103.19,103.19,4,2,1,2009,TM Dilshan (SL),5
TM Dilshan,SL,20,20,2,921,110,51.16,931,98.92,103.19,3,4,1,2010,TM Dilshan (SL),6
TM Dilshan,SL,26,26,1,814,144,32.56,944,86.22,98.92,2,4,1,2011,TM Dilshan (SL),17
TM Dilshan,SL,31,30,3,1119,160,41.44,1322,84.64,86.22,4,3,3,2012,TM Dilshan (SL),8
TN de Grooth,NL,4,3,0,132,97,44,129,102.32,102.32,0,1,0,2007,TN de Grooth (NL),7
TN Madondo,ZIM,2,2,0,103,71,51.5,131,78.62,78.62,0,1,0,2000,TN Madondo (ZIM),12
V Kohli,INDIA,5,5,0,159,54,31.8,239,66.52,66.52,0,1,0,2008,V Kohli (INDIA),32
V Rathour,INDIA,6,6,0,159,54,26.5,278,57.19,57.19,0,2,0,1996,V Rathour (INDIA),29
V Sehwag,INDIA,6,6,1,219,100,43.8,213,102.81,102.81,1,1,1,2001,V Sehwag (INDIA),2
V Sehwag,INDIA,28,28,3,1096,126,43.84,1029,106.51,102.81,3,5,3,2002,V Sehwag (INDIA),1
V Sehwag,INDIA,25,25,0,861,130,34.44,1008,85.41,106.51,2,3,2,2003,V Sehwag (INDIA),8
V Sehwag,INDIA,25,24,0,633,90,26.37,695,91.07,85.41,0,5,3,2004,V Sehwag (INDIA),4
V Sehwag,INDIA,29,29,0,861,108,29.68,823,104.61,91.07,1,2,0,2005,V Sehwag (INDIA),3
V Sehwag,INDIA,20,20,0,590,97,29.5,687,85.88,104.61,0,5,1,2006,V Sehwag (INDIA),9
V Sehwag,INDIA,8,8,0,216,52,27,194,111.34,85.88,0,1,0,2007,V Sehwag (INDIA),4
V Sehwag,INDIA,18,18,0,893,119,49.61,744,120.02,111.34,1,8,0,2008,V Sehwag (INDIA),2
V Sehwag,INDIA,20,19,1,810,146,45,593,136.59,120.02,3,2,0,2009,V Sehwag (INDIA),1
V Sehwag,INDIA,12,12,1,446,110,40.54,410,108.78,136.59,1,1,0,2010,V Sehwag (INDIA),2
V Sehwag,INDIA,12,12,0,645,219,53.75,524,123.09,108.78,2,1,2,2011,V Sehwag (INDIA),1
V Sehwag,INDIA,10,10,0,217,96,21.7,216,100.46,123.09,0,1,1,2012,V Sehwag (INDIA),2
V Sibanda,ZIM,5,5,0,84,58,16.8,193,43.52,43.52,0,1,1,2003,V Sibanda (ZIM),41
V Sibanda,ZIM,8,7,0,32,12,4.57,98,32.65,43.52,0,0,3,2004,V Sibanda (ZIM),37
V Sibanda,ZIM,12,12,1,438,116,39.81,644,68.01,32.65,1,2,1,2006,V Sibanda (ZIM),29
V Sibanda,ZIM,16,16,1,545,96,36.33,788,69.16,68.01,0,4,1,2007,V Sibanda (ZIM),33
V Sibanda,ZIM,10,10,0,159,59,15.9,255,62.35,69.16,0,1,0,2008,V Sibanda (ZIM),39
V Sibanda,ZIM,10,10,0,172,77,17.2,330,52.12,62.35,0,1,2,2009,V Sibanda (ZIM),52
V Sibanda,ZIM,5,5,0,119,95,23.8,240,49.58,52.12,0,1,1,2010,V Sibanda (ZIM),52
V Sibanda,ZIM,11,11,0,412,96,37.45,554,74.36,49.58,0,4,1,2011,V Sibanda (ZIM),33
VS Solanki,ENG,13,13,1,277,106,23.08,349,79.36,79.36,1,1,1,2003,VS Solanki (ENG),12
VS Solanki,ENG,10,10,0,349,100,34.9,464,75.21,79.36,1,2,0,2004,VS Solanki (ENG),12
W Barresi,NL,8,8,0,169,44,21.12,264,64.01,64.01,0,0,1,2011,W Barresi (NL),39
Wajahatullah Wasti,PAK,11,11,0,273,84,24.81,530,51.5,51.5,0,1,1,1999,Wajahatullah Wasti (PAK),34
WS Jayantha,SL,10,10,2,215,74,26.87,266,80.82,80.82,0,1,2,2004,WS Jayantha (SL),8
WTS Porterfield,IRE,18,18,2,555,112,34.68,933,59.48,59.48,2,2,2,2007,WTS Porterfield (IRE),47
WTS Porterfield,IRE,9,9,0,122,41,13.55,211,57.81,59.48,0,0,0,2008,WTS Porterfield (IRE),42
WTS Porterfield,IRE,8,8,1,414,104,59.14,517,80.07,57.81,2,2,0,2009,WTS Porterfield (IRE),23
WTS Porterfield,IRE,7,7,0,221,108,31.57,281,78.64,80.07,1,0,0,2010,WTS Porterfield (IRE),28
WTS Porterfield,IRE,8,8,0,254,75,31.75,369,68.83,78.64,0,3,1,2011,WTS Porterfield (IRE),35
WU Tharanga,SL,9,9,0,260,105,28.88,372,69.89,69.89,1,1,0,2005,WU Tharanga (SL),22
WU Tharanga,SL,26,24,0,1062,120,44.25,1349,78.72,69.89,5,4,2,2006,WU Tharanga (SL),16
WU Tharanga,SL,27,26,0,628,73,24.15,955,65.75,78.72,0,4,1,2007,WU Tharanga (SL),41
WU Tharanga,SL,9,8,1,138,40,19.71,278,49.64,65.75,0,0,1,2008,WU Tharanga (SL),47
WU Tharanga,SL,13,13,0,523,118,40.23,635,82.36,49.64,1,4,3,2009,WU Tharanga (SL),22
WU Tharanga,SL,20,20,2,689,118,38.27,930,74.08,82.36,1,5,3,2010,WU Tharanga (SL),34
WU Tharanga,SL,21,21,3,826,133,45.88,1091,75.71,74.08,4,2,1,2011,WU Tharanga (SL),29
WU Tharanga,SL,21,20,1,489,66,25.73,643,76.04,75.71,0,5,2,2012,WU Tharanga (SL),19
WW Hinds,WI,6,6,0,124,60,20.66,178,69.66,69.66,0,2,1,2001,WW Hinds (WI),22
WW Hinds,WI,14,13,0,388,93,29.84,486,79.83,69.66,0,3,1,2002,WW Hinds (WI),18
WW Hinds,WI,16,16,3,632,127,48.61,831,76.05,79.83,3,2,2,2003,WW Hinds (WI),17
WW Hinds,WI,4,4,0,105,82,26.25,177,59.32,76.05,0,1,0,2004,WW Hinds (WI),31
WW Hinds,WI,7,7,0,184,107,26.28,289,63.66,59.32,1,0,1,2005,WW Hinds (WI),29
XM Marshall,WI,8,8,0,87,26,10.87,196,44.38,44.38,0,0,0,2005,XM Marshall (WI),34
XM Marshall,WI,6,6,0,58,35,9.66,111,52.25,44.38,0,0,3,2008,XM Marshall (WI),46
Yasir Hameed,PAK,14,14,1,811,127,62.38,1122,72.28,72.28,2,7,0,2003,Yasir Hameed (PAK),20
Yasir Hameed,PAK,25,25,0,773,102,30.92,1144,67.56,72.28,1,2,2,2004,Yasir Hameed (PAK),23
Zahoor Elahi,PAK,6,6,0,215,86,35.83,313,68.69,68.69,0,3,0,1996,Zahoor Elahi (PAK),19
